Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
195,1.48164e-51,0.117039,5000,1,14.9375,1,0,0.0498047,0.0498047
196,1.48164e-51,0.117039,5000,1,14.9355,1,0,0.0488281,0.0488281
197,1.48164e-51,0.117039,5000,1,14.9111,1,0,0.03125,0.03125
198,1.48164e-51,0.117039,5000,1,14.8994,1,0,0.0527344,0.0527344
199,1.48019e-51,0.117073,5000,0.999023,14.8916,0.999023,0,0.0449219,0.0449219
200,1.47875e-51,0.117108,5000,0.998047,14.9092,0.998047,0,0.0654297,0.0654297
201,1.48164e-51,0.117039,5000,1,14.9189,1,0,0.0517578,0.0517578
202,1.48019e-51,0.117073,5000,0.999023,14.916,0.999023,0,0.0585938,0.0585938
203,1.48164e-51,0.117039,5000,1,14.9229,1,0,0.0517578,0.0517578
204,1.48164e-51,0.117039,5000,1,14.9355,1,0,0.0498047,0.0498047
205,1.48164e-51,0.117039,5000,1,14.9141,1,0,0.0507812,0.0507812
206,1.48164e-51,0.117039,5000,1,14.8896,1,0,0.0488281,0.0488281
207,1.48019e-51,0.117054,5000,1,14.8809,1,0,0.0585938,0.0585938
208,1.48164e-51,0.117039,5000,1,14.8799,1,0,0.0566406,0.0566406
209,1.48019e-51,0.117073,5000,0.999023,14.8916,0.999023,0,0.0546875,0.0546875
210,1.48019e-51,0.117054,5000,1,14.9121,1,0,0.0625,0.0625
211,1.48019e-51,0.117073,5000,1,14.8838,0.999023,0.000976562,0.0498047,0.0498047
212,1.48164e-51,0.117039,5000,1,14.877,1,0,0.0507812,0.0507812
213,1.48164e-51,0.117039,5000,1,14.8848,1,0,0.0400391,0.0400391
214,1.48019e-51,0.117054,5000,1,14.8701,1,0,0.0488281,0.0488281
215,1.48164e-51,0.117039,5000,1,14.873,1,0,0.0419922,0.0419922
216,1.48164e-51,0.117039,5000,1,14.8398,1,0,0.0605469,0.0605469
217,1.48019e-51,0.117054,5000,1,14.8467,1,0,0.0488281,0.0488281
218,1.48164e-51,0.117039,5000,1,14.8711,1,0,0.0517578,0.0517578
219,1.48019e-51,0.117073,5000,0.999023,14.8701,0.999023,0,0.0605469,0.0605469
220,1.48164e-51,0.117039,5000,1,14.9014,1,0,0.0644531,0.0644531
221,1.47875e-51,0.117069,5000,1,14.9043,1,0,0.0371094,0.0371094
222,1.48164e-51,0.117039,5000,1,14.9004,1,0,0.0380859,0.0380859
223,1.48164e-51,0.117039,5000,1,14.873,1,0,0.0498047,0.0498047
224,1.48019e-51,0.117073,5000,0.999023,14.8779,0.999023,0,0.0517578,0.0517578
225,1.4773e-51,0.117151,5000,0.998047,14.8838,0.998047,0,0.0419922,0.0419922
226,1.48019e-51,0.117073,5000,0.999023,14.8623,0.999023,0,0.0458984,0.0458984
227,1.48164e-51,0.117039,5000,1,14.8516,1,0,0.0458984,0.0458984
228,1.48164e-51,0.117039,5000,1,14.8369,1,0,0.0478516,0.0478516
229,1.48164e-51,0.117039,5000,1,14.8408,1,0,0.0546875,0.0546875
230,1.48019e-51,0.117073,5000,0.999023,14.8379,0.999023,0,0.0439453,0.0439453
231,1.48019e-51,0.117054,5000,1,14.8369,1,0,0.0546875,0.0546875
232,1.48019e-51,0.117073,5000,0.999023,14.8672,0.999023,0,0.0410156,0.0410156
233,1.48019e-51,0.117067,5000,1,14.8809,1,0,0.0634766,0.0634766
234,1.48019e-51,0.117073,5000,0.999023,14.8926,0.999023,0,0.0527344,0.0527344
235,1.47875e-51,0.117088,5000,0.999023,14.8818,0.999023,0,0.0488281,0.0488281
236,1.48164e-51,0.117039,5000,1,14.8838,1,0,0.0478516,0.0478516
237,1.47875e-51,0.117088,5000,0.999023,14.875,0.999023,0,0.0478516,0.0478516
238,1.48164e-51,0.117039,5000,1,14.8828,1,0,0.0498047,0.0498047
239,1.48019e-51,0.117073,5000,0.999023,14.8721,0.999023,0,0.0458984,0.0458984
240,1.48164e-51,0.117039,5000,1,14.8877,1,0,0.046875,0.046875
241,1.48164e-51,0.117039,5000,1,14.8877,1,0,0.0517578,0.0517578
242,1.48019e-51,0.117054,5000,1,14.915,1,0,0.0605469,0.0605469
243,1.48164e-51,0.117039,5000,1,14.8984,1,0,0.0419922,0.0419922
244,1.48164e-51,0.117039,5000,1,14.9092,1,0,0.0439453,0.0439453
245,1.48164e-51,0.117039,5000,1,14.9102,1,0,0.0517578,0.0517578
246,1.48019e-51,0.117073,5000,1,14.9404,1,0.000976562,0.0517578,0.0517578
247,1.48075e-51,0.11704,5000,1,14.9082,1,0,0.046875,0.046875
248,1.48164e-51,0.117039,5000,1,14.9023,1,0,0.0478516,0.0478516
249,1.47875e-51,0.117069,5000,1,14.8926,1,0,0.0566406,0.0566406
250,1.48164e-51,0.117039,5000,1,14.8682,1,0,0.0371094,0.0371094
251,1.48019e-51,0.117054,5000,1,14.8379,1,0,0.0507812,0.0507812
252,1.48164e-51,0.117039,5000,1,14.8037,1,0,0.0537109,0.0537109
253,1.48164e-51,0.117039,5000,1,14.7725,1,0,0.0488281,0.0488281
254,1.48019e-51,0.117073,5000,0.999023,14.7656,0.999023,0,0.0527344,0.0527344
255,1.48164e-51,0.117039,5000,1,14.792,1,0,0.0654297,0.0654297
256,1.47875e-51,0.117088,5000,0.999023,14.7441,0.999023,0,0.0498047,0.0498047
257,1.48075e-51,0.11704,5000,1,14.7656,1,0,0.0507812,0.0507812
258,1.48164e-51,0.117039,5000,1,14.7764,1,0,0.0566406,0.0566406
259,1.48019e-51,0.117073,5000,0.999023,14.7676,0.999023,0,0.0517578,0.0517578
260,1.48164e-51,0.117039,5000,1,14.752,1,0,0.0566406,0.0566406
261,1.48164e-51,0.117039,5000,1,14.748,1,0,0.0488281,0.0488281
262,1.48019e-51,0.117054,5000,1,14.7422,1,0,0.0458984,0.0458984
263,1.48019e-51,0.117073,5000,0.999023,14.7393,0.999023,0,0.0595703,0.0595703
264,1.48164e-51,0.117039,5000,1,14.7559,1,0,0.0478516,0.0478516
265,1.48019e-51,0.117073,5000,0.999023,14.7598,0.999023,0,0.0625,0.0625
266,1.47875e-51,0.117088,5000,0.999023,14.7412,0.999023,0,0.046875,0.046875
267,1.47875e-51,0.117095,5000,0.999023,14.7598,0.999023,0,0.046875,0.046875
268,1.48164e-51,0.117039,5000,1,14.7314,1,0,0.0429688,0.0429688
269,1.48019e-51,0.117073,5000,1,14.75,0.999023,0.000976562,0.0527344,0.0527344
270,1.48019e-51,0.117054,5000,1,14.7334,1,0,0.0458984,0.0458984
271,1.48019e-51,0.117054,5000,1,14.7275,1,0,0.0537109,0.0537109
272,1.48019e-51,0.117054,5000,1,14.7236,1,0,0.0585938,0.0585938
273,1.48164e-51,0.117039,5000,1,14.7422,1,0,0.0429688,0.0429688
274,1.48164e-51,0.117039,5000,1,14.7334,1,0,0.0537109,0.0537109
275,1.48164e-51,0.117039,5000,1,14.748,1,0,0.0439453,0.0439453
276,1.48019e-51,0.117073,5000,0.999023,14.7656,0.999023,0,0.0400391,0.0400391
277,1.48164e-51,0.117039,5000,1,14.7695,1,0,0.0478516,0.0478516
278,1.48164e-51,0.117039,5000,1,14.7842,1,0,0.0517578,0.0517578
279,1.48164e-51,0.117039,5000,1,14.8086,1,0,0.0546875,0.0546875
280,1.48164e-51,0.117039,5000,1,14.8154,1,0,0.0410156,0.0410156
281,1.47875e-51,0.117116,5000,0.999023,14.8086,0.999023,0,0.0400391,0.0400391
282,1.48019e-51,0.117054,5000,1,14.8086,1,0,0.0556641,0.0556641
283,1.4793e-51,0.117074,5000,1,14.7637,0.999023,0.000976562,0.0527344,0.0527344
284,1.48164e-51,0.117039,5000,1,14.7588,1,0,0.0517578,0.0517578
285,1.48019e-51,0.117073,5000,1,14.7158,0.999023,0.000976562,0.0556641,0.0556641
286,1.48164e-51,0.117039,5000,1,14.6953,1,0,0.0419922,0.0419922
287,1.48019e-51,0.117073,5000,0.999023,14.7061,0.999023,0,0.0419922,0.0419922
288,1.48164e-51,0.117039,5000,1,14.6982,1,0,0.0478516,0.0478516
289,1.48164e-51,0.117039,5000,1,14.7109,1,0,0.0488281,0.0488281
290,1.48164e-51,0.117039,5000,1,14.7012,1,0,0.0517578,0.0517578
291,1.48164e-51,0.117039,5000,1,14.7236,1,0,0.0449219,0.0449219
292,1.48164e-51,0.117039,5000,1,14.7275,1,0,0.0488281,0.0488281
293,1.48019e-51,0.117073,5000,1,14.7598,0.999023,0.000976562,0.0371094,0.0371094
294,1.48019e-51,0.117054,5000,1,14.7607,1,0,0.0449219,0.0449219
295,1.48164e-51,0.117039,5000,1,14.7568,1,0,0.0488281,0.0488281
296,1.48164e-51,0.117039,5000,1,14.751,1,0,0.0498047,0.0498047
297,1.48164e-51,0.117039,5000,1,14.7461,1,0,0.0458984,0.0458984
298,1.48164e-51,0.117039,5000,1,14.7471,1,0,0.0517578,0.0517578
299,1.48019e-51,0.117073,5000,0.999023,14.7793,0.999023,0,0.0419922,0.0419922
300,1.48164e-51,0.117039,5000,1,14.7891,1,0,0.0322266,0.0322266
301,1.48164e-51,0.117039,5000,1,14.8252,1,0,0.0410156,0.0410156
302,1.48164e-51,0.117039,5000,1,14.8105,1,0,0.0429688,0.0429688
303,1.48164e-51,0.117039,5000,1,14.8311,1,0,0.0556641,0.0556641
304,1.48164e-51,0.117039,5000,1,14.8652,1,0,0.046875,0.046875
305,1.48164e-51,0.117039,5000,1,14.9043,1,0,0.0458984,0.0458984
306,1.48164e-51,0.117039,5000,1,14.9092,1,0,0.0556641,0.0556641
307,1.48164e-51,0.117039,5000,1,14.876,1,0,0.0546875,0.0546875
308,1.48164e-51,0.117039,5000,1,14.877,1,0,0.0566406,0.0566406
